ProductDescriptionID;Culture;Description
"98";"en    ";"Superior shifting performance."
"74";"en    ";"Replacement rear mountain wheel for the casual to serious rider."
"23";"fr    ";"Adapt� � tous les usages, sur route ou tout-terrain. Pour toutes les bourses. Changement de braquet en douceur et conduite confortable."
"72";"en    ";"10-speed aluminum derailleur with sealed pulley bearings."
"107";"th    ";"???????? 70 ????? ????????????????????? ???????? ??????????????"
"117";"en    ";"Simple and light-weight. Emergency patches stored in handle."
"38";"th    ";"???????????????????????????????????????????????? ????????????????????????????????"
"31";"th    ";"????????????????????????????????? ??????????????????????????????????????????????????????  ???????????????????????"
"95";"zh-cht";"???"
"25";"th    ";"????????????????????????????????????  ???????????????????????? Adventure Works Cycles ????????????????????????????????????????????? ?????????????????????"
"122";"zh-cht";"????????????????????????????????????????"
"27";"zh-cht";"?????????????????????????????????????????????????????????????????"
"21";"zh-cht";"?????????????????????????????????????????????????!"
"13";"zh-cht";"???????????? ? ??????????????"
"119";"th    ";"?????????????????????????????? ??????????? ???????????????????????????????  ???????? 1 ????"
"125";"he    ";"???? ????? ???? ??????? ?????? ?????."
"108";"zh-cht";"???????????????? ? ???? AAA ??"
"55";"he    ";"???? ????? ????? ????? ???? ????? ???????."
"94";"he    ";"?????? ?????? ??????."
"68";"he    ";"?????? ??? ????? ? ?????????."
"28";"zh-cht";"??????????????????????????????????????????????????????????????"
"63";"ar    ";"????? ????? ????? ????? ??????? ??? ????? ???? ??? ??? ???? ???????."
"26";"ar    ";"???? ?????? ??????? ?? ????? ???????? ????? ???? ?????? ?????? ?? ??? ?????? ????? ??? ?????? ?? ???? ???? ?????? ?? ?? ???? ????? ?????? ???? ? ???? ??????? ? ???? ????? ?????."
"46";"th    ";"???????????????????????????????????"
"97";"fr    ";"Cuvettes en alliage d'aluminium et axe creux."
"80";"fr    ";"Con�u pour absorber les chocs."
"55";"en    ";"Flat bar strong enough for the pro circuit."
"122";"en    ";"Perfect all-purpose bike stand for working on your bike at home. Quick-adjusting clamps and steel construction."
"115";"ar    ";"????? ????? ???????? ??????? ???????? ????? ?????? ????????."
"84";"th    ";"????????????????????????? ?????????? ?????????"
"62";"zh-cht";"????????????????????????"
"46";"en    ";"High-performance mountain replacement wheel."
"102";"he    ";"?????? ????? ???????? ??? ??? ?????; ?????? ????? ????? ??-??? ???? ???? ??? ??????."
"54";"en    ";"Tough aluminum alloy bars for downhill."
"22";"th    ";"?????????????????????????????? ?????????????  ?????????? ????? ????????????????????????????????????????????????????"
"107";"ar    ";"???? ??? ????? ?????? ??????? ???????????? ??? 1.960 ???????? ????? ????? ????? ??????? ???????? ????? ????? ?? ???? ???."
"103";"fr    ";"Conception liaison large."
"108";"en    ";"Affordable light for safe night riding - uses 3 AAA batteries"
"8";"en    ";"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
"61";"zh-cht";"???????????????????????????"
"15";"en    ";"The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version."
"44";"en    ";"Aerodynamic rims for smooth riding."
"99";"ar    ";"???? ????? ??? ???? ??????."
"71";"en    ";"Refillable shoes; polished aluminum calipers."
"59";"fr    ";"Jeu de direction de qualit� sans filetage � un prix abordable."
"77";"ar    ";"???? ????? ????? ?? ????? ?????????? ?????? ?????? ?? ??????? ???? ?? ????? ???? ?????? ??????."
"11";"fr    ";"Maillot de cycliste en microfibre avec le logo de l'�quipe AWV, manches longues, unisexe."
"17";"fr    ";"Dot� du m�me alliage en aluminium que notre cadre HL haut de gamme, le ML poss�de un tube l�ger dont le diam�tre est pr�vu pour offrir une r�sistance optimale. Version femmes."
"27";"th    ";"???????? ??????? ???????????????????????????????????????????????? ????????????????????????????????????????  ????????????????????????????????????????????????????????????????????"
"74";"zh-cht";"????????????????????"
"97";"en    ";"Aluminum alloy cups and a hollow axle."
"16";"ar    ";"????? ???? ML ??? ?????? ????? ????? ????? ?? ??????? ???? ????? ??? ???? ??? ???? ???? ????? ?????? ??? ?? ??????? ?? ??? ????? ?????????? ???? ?? ????? ???? HL - ???? ??? ?? ???? ???????? - ????. ?????? ???????."
"75";"th    ";"?????????????????????????????????????????????????????"
"80";"th    ";"???????????????????????????????????"
"56";"he    ";"???? ??????? ????? ???? ??? ???? ?????? ????????."
"39";"fr    ";"Adapt� � tous les terrains. Pour toutes les bourses."
"9";"fr    ";"Le cadre LL en aluminium offre une conduite confortable, une excellente absorption des bosses pour un tr�s bon rapport qualit�-prix."
"88";"th    ";"??????????????????????????????????? ????????????????????????????"
"112";"th    ";"??????????????????????? ?????????????????????????????"
"40";"he    ";"????????? ??? ??? ?????? ?????? ???? ""????"" ????. ??????? ???????? ??? ???? ????? ?????????."
"117";"he    ";"???? ???-????. ???? ????? ???????? ?????."
"125";"fr    ";"Roue de secours tout-terrain hautes performances."
"126";"fr    ";"Roue avant pour v�lo de route pour cycliste occasionnel."
"57";"he    ";"????? ????????? ????? ??????? ????? ??????? ?????? ??? ????."
"92";"th    ";"????????????????????"
"19";"zh-cht";"??????????????????????? HL ???????????????????????????"
"78";"en    ";"Strong rear wheel with double-walled rim."
"29";"th    ";"???????????????????????????? Road ??????? ?????????????????????????????????????  ??????????????????????????????? ???????????????????????????????????????"
"108";"fr    ";"�clairage peu on�reux pour la conduite de nuit�- utilise 3 piles�AAA."
"7";"ar    ";"??? ?? ????? ??? ???? HL ??????? ?? ?????????? ?????? ?? ?? ???? ????? ??????? ??? ?? ??????? ?????? ???? ?????? ??????? ???????. ?????? ???????."
"4";"th    ";"????????????? ??????????????????????? ??????????????? ?????????????"
"101";"he    ";"???? ?????? ??????, ???? ?????? ??????????, ????? ??????? ?????."
"90";"he    ";"??-???? ????? ????? ?????? ???? ???? ?????? ??? ?????."
"109";"zh-cht";"?????????"
"53";"ar    ";"????? ????? ???????? ??????? ???? ?????."
"122";"ar    ";"???? ????? ????? ????? ??????? ????? ????? ?????? ???????. ????? ????? ????? ??????? ???????."
"35";"ar    ";"?? ???? ??????? ?????? ??????? ?? ???? ????? ????? ?? ??? ????? ?? ??????? ???? ?????? ??? ???? ?? ???? ??????? ??????? ??????? ????? ????? ?????? ???? ?? ??? ????? ??? ???????. ?????? ??? ??????? ???????? ??? ??? ??????? ???????."
"85";"he    ";"????? ???? ???? ????? ?????? ?????????, ????? ???? ???? ???? ????."
"105";"he    ";"???? ???? ????? ?? ????? ???? ????? ??????????."
"44";"ar    ";"???? ????? ??????????? ???????? ???????? ????????? ????? ????."
"68";"zh-cht";"?????? ? ???"
"6";"fr    ";"Notre cadre en aluminium plus l�ger et de qualit� sup�rieure fabriqu� � partir du tout dernier alliage�; cadre soud� et trait� � chaud pour une meilleure r�sistance. Le r�sultat d'une conception innovante pour un confort et des performances maximum."
"58";"zh-cht";"?????????????????????????"
"14";"th    ";"???? ML ?????????????????????????????? ??????????????????????????????????? HL  ??????????????????????????  ???????????????????????"
"51";"fr    ";"Roue solide avec jante double paroi."
"93";"zh-cht";"?????????"
"94";"en    ";"General purpose tube."
"91";"th    ";"?????????????????"
"34";"zh-cht";"??????????????????????????????????????????????????????????????????"
"26";"zh-cht";"??????????????????????????????????"
"78";"th    ";"?????????????????????????????????????????"
"47";"he    ";"???? ??????? ??????? ??????? ????? ??????."
"39";"en    ";"Suitable for any type of off-road trip. Fits any budget."
"75";"zh-cht";"????????????"
"83";"zh-cht";"???????????"
